Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482651,-97.1722565,839.3,29.86,19.5,0.0,25.85,2.19,0.4,-0.0,-0.02,359.5,267.5,27.9,27.9,6.0,0.3,19.3,21.1,1.88,144.16,58.65,1012.8,178.22,211.0,1012.28,1075.1,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,839.3,29.86,19.5,0.0,31.36,2.21,0.4,0.0,-0.02,359.5,267.5,27.9,27.8,5.8,0.3,19.33,21.15,1.84,144.11,58.05,979.3,178.64,211.59,995.91,1067.31,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722641,838.3,29.86,19.5,0.0,2.51,2.25,0.35,0.0,-0.0,359.5,267.5,27.9,27.8,5.8,0.2,19.35,21.15,1.89,144.05,57.75,958.2,179.07,212.22,975.86,1058.26,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,-11.66,2.25,0.34,0.0,0.01,359.5,267.5,27.9,27.8,5.8,0.2,19.35,21.15,1.85,144.0,57.94,960.4,179.39,212.72,959.02,1049.12,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,17.0
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,-0.42,2.25,0.41,0.01,-0.01,359.5,267.5,27.9,27.8,5.9,0.2,19.35,21.15,1.84,143.95,58.1,971.8,179.83,213.37,945.86,1040.96,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,-17.17,2.2,0.36,-0.02,-0.03,359.5,267.5,27.9,27.9,6.2,0.3,19.35,21.1,1.82,143.9,58.17,978.7,180.26,214.02,941.37,1035.2,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,837.3,29.86,19.5,0.0,-23.13,2.29,0.44,-0.0,0.05,359.5,267.5,27.9,27.9,6.0,0.3,19.35,21.15,1.84,143.86,58.04,980.2,180.71,214.61,930.51,1030.58,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.0
47.9482651,-97.1722565,837.3,29.86,19.5,0.0,-24.32,2.25,0.42,0.0,-0.02,359.5,267.5,27.9,27.9,6.0,0.2,19.35,21.1,1.85,143.81,58.11,979.2,181.06,215.21,917.33,1026.66,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,837.3,29.86,19.5,0.0,-3.1,2.31,0.37,-0.01,0.02,359.5,267.5,27.9,27.9,6.1,0.2,19.35,21.1,1.86,143.76,58.29,984.7,181.43,215.78,915.0,1023.13,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,839.3,29.86,19.5,0.0,27.44,2.29,0.38,-0.0,0.0,359.5,267.5,27.9,27.9,6.3,0.2,19.35,21.1,1.85,143.72,58.28,985.0,181.82,216.38,918.6,1020.14,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
