window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_21875,exact_data/anomaly/window_21875.csv,0.5320363287407296,AltMSL__min,1.0699045973027674,E1 EGT1__min,1.0559584553657502,E1 EGT1__mean,1.0354591489978417
window_25300,exact_data/anomaly/window_25300.csv,0.5319621984379589,IAS__min,1.1157673830980828,IAS__mean,1.0132724532272084,E1 RPM__min,0.9899439855739419
window_22000,exact_data/anomaly/window_22000.csv,0.5317336929470838,E1 EGT1__min,1.0755144302804047,E1 EGT1__mean,1.0610487760959948,AltMSL__min,1.0553114775813608
window_4350,exact_data/anomaly/window_4350.csv,0.5307405517855377,NormAc__min,2.2234305705705073,NormAc__std,2.221788479956572,NormAc__max,1.3417726963940984
window_22250,exact_data/anomaly/window_22250.csv,0.5305228873312995,AltMSL__min,1.0390098950633013,E1 EGT1__min,1.0232021973837038,AltMSL__mean,1.015166459621411
window_22875,exact_data/anomaly/window_22875.csv,0.5248821758385908,AltMSL__min,1.042498006606467,E1 EGT1__min,1.0134242099263773,AltMSL__mean,1.0092710074064255
window_21800,exact_data/anomaly/window_21800.csv,0.5245447048226117,NormAc__min,1.0877615067982322,AltMSL__min,1.0410742876092567,E1 EGT1__min,1.002546198880101
window_22975,exact_data/anomaly/window_22975.csv,0.5224445162154777,E1 RPM__std,1.143274712893389,NormAc__max,1.1070055598479065,AltMSL__max,1.0679392617411916
window_25000,exact_data/anomaly/window_25000.csv,0.5218035149422677,IAS__min,1.2113440571514604,E1 CHT1__max,1.164073127029144,E1 CHT1__mean,1.1606044400583064
window_11400,exact_data/anomaly/window_11400.csv,0.5188426214906205,E1 EGT1__min,0.9990016784268204,E1 EGT1__mean,0.9823277516518334,E1 EGT1__max,0.937090647370843
window_22600,exact_data/anomaly/window_22600.csv,0.51749353072444,IAS__min,1.024208947593496,E1 EGT1__min,1.0233855346485299,E1 EGT1__mean,1.0064082406542203
window_17675,exact_data/anomaly/window_17675.csv,0.5157939643991839,NormAc__max,2.087053035250361,NormAc__mean,1.913777872294,E1 FFlow__max,1.1513770508109495
window_4400,exact_data/anomaly/window_4400.csv,0.513623186106987,NormAc__min,2.5331584970538543,NormAc__std,2.2443308398636304,NormAc__max,1.8741157955771428
window_25675,exact_data/anomaly/window_25675.csv,0.5135940718441685,E1 CHT1__mean,1.635005431841272,E1 CHT1__max,1.6067003617136042,E1 CHT1__min,1.5345033114074258
window_22800,exact_data/anomaly/window_22800.csv,0.5122599174201049,AltMSL__min,1.0359488992192991,E1 EGT1__min,0.9976572051514377,AltMSL__mean,0.9936285650564423
window_22125,exact_data/anomaly/window_22125.csv,0.5121885310181378,E1 EGT1__min,1.056691804425049,E1 EGT1__mean,1.0442462272651614,AltMSL__min,1.0442064694031195
window_23000,exact_data/anomaly/window_23000.csv,0.5119347979222885,E1 FFlow__std,1.4615577482795672,NormAc__mean,1.1602663898941346,AltMSL__min,1.1476396545504561
